Stadsdeel1,Stadsdeel2,Links
Amsterdam Centrum,Amsterdam Nieuw-West,1
Amsterdam Centrum,Amsterdam West,1
Amsterdam Centrum,Amsterdam Noord,1
Amsterdam Centrum,Amsterdam Zuid,2
Amsterdam Centrum,Amsterdam Zuid-Oost,2
Amsterdam Centrum,Amsterdam Oost,3
Amsterdam Nieuw-west,Amsterdam Centrum,1
Amsterdam Nieuw-west,Amsterdam West,2
Amsterdam Nieuw-west,Amsterdam Noord,0
Amsterdam Nieuw-west,Amsterdam Zuid,2
Amsterdam Nieuw-west,Amsterdam Zuid-Oost,1
Amsterdam Nieuw-west,Amsterdam Oost,2
Amsterdam West,Amsterdam Centrum,1
Amsterdam West,Amsterdam Nieuw-West,2
Amsterdam West,Amsterdam Noord,0
Amsterdam West,Amsterdam Zuid,2
Amsterdam West,Amsterdam Zuid-Oost,1
Amsterdam West,Amsterdam Oost,2
Amsterdam Noord,Amsterdam Centrum,1
Amsterdam Noord,Amsterdam Nieuw-West,0
Amsterdam Noord,Amsterdam West,0
Amsterdam Noord,Amsterdam Zuid,1
Amsterdam Noord,Amsterdam Zuid-Oost,0
Amsterdam Noord,Amsterdam Oost,0
Amsterdam Zuid,Amsterdam Centrum,2
Amsterdam Zuid,Amsterdam Nieuw-West,2
Amsterdam Zuid,Amsterdam West,2
Amsterdam Zuid,Amsterdam Noord,1
Amsterdam Zuid,Amsterdam Zuid-Oost,1
Amsterdam Zuid,Amsterdam Oost,2
Amsterdam Zuid-Oost,Amsterdam Centrum,2
Amsterdam Zuid-Oost,Amsterdam Nieuw-West,1
Amsterdam Zuid-Oost,Amsterdam West,1
Amsterdam Zuid-Oost,Amsterdam Noord,0
Amsterdam Zuid-Oost,Amsterdam Zuid,1
Amsterdam Zuid-Oost,Amsterdam Oost,3
Amsterdam Oost,Amsterdam Centrum,3
Amsterdam Oost,Amsterdam Nieuw-West,2
Amsterdam Oost,Amsterdam West,2
Amsterdam Oost,Amsterdam Noord,0
Amsterdam Oost,Amsterdam Zuid,2
Amsterdam Oost,Amsterdam Zuid-Oost,3
